class,n,K_pct,p_follow_proxy_ef,p_follow_proxy_ef_lo,p_follow_proxy_ef_hi,ensemble_p_snia_ef,ensemble_p_snia_ef_lo,ensemble_p_snia_ef_hi,best_local_p_snia_ef,best_local_p_snia_ef_lo,best_local_p_snia_ef_hi,random_ef,random_ef_lo,random_ef_hi
Gaia stars,9937,0.5,0.6899,0.5216,0.8765,0.643,0.4692,0.8233,0.4579,0.2999,0.6358,0.9171,0.7426,1.086
Gaia stars,9937,1.0,0.647,0.5325,0.7689,0.6481,0.5131,0.7795,0.5405,0.4177,0.6667,0.9102,0.782,1.0381
Gaia stars,9937,2.0,0.6882,0.5973,0.78,0.669,0.5758,0.7543,0.584,0.5039,0.6668,0.9558,0.8686,1.0399
Gaia stars,9937,5.0,0.8173,0.7584,0.8765,0.6929,0.6386,0.7467,0.6359,0.5847,0.6911,1.0046,0.9493,1.0604
Gaia variables,226,0.5,3.8069,0.8545,7.9689,3.4135,0.8402,7.2727,4.1318,0.8929,8.1085,0.0,0.0,0.0
Gaia variables,226,1.0,3.6382,1.3512,6.2247,3.6197,1.3758,6.0748,4.0442,1.7688,6.8632,0.0263,0.0,0.4526
Gaia variables,226,2.0,3.3111,1.7018,4.8891,3.6366,2.0359,5.2996,3.5621,1.9733,5.2139,0.943,0.2174,1.9323
Gaia variables,226,5.0,2.0969,1.3511,2.981,2.4941,1.6733,3.3806,3.0232,2.1223,3.9835,0.8108,0.3463,1.3209
SIMBAD Galaxy,402,0.5,0.3311,0.0,1.9902,0.9929,0.0,2.7047,9.5606,6.0147,13.4027,0.9925,0.0,2.5126
SIMBAD Galaxy,402,1.0,0.6916,0.0,1.6354,1.2909,0.2551,2.5641,6.6685,4.5444,9.0502,1.0286,0.2392,2.1742
SIMBAD Galaxy,402,2.0,0.7379,0.2381,1.389,1.6711,0.8356,2.5956,4.2042,3.0,5.4617,1.2226,0.5102,2.0048
SIMBAD Galaxy,402,5.0,0.7479,0.4177,1.1372,2.3889,1.769,3.0655,2.6812,2.0689,3.3945,0.9208,0.5313,1.3521
SIMBAD AGN/QSO,79,0.5,3.5754,0.0,10.8123,7.3941,0.0,16.2791,7.4604,0.0,16.6667,0.0,0.0,0.0
SIMBAD AGN/QSO,79,1.0,4.9871,0.0,10.4666,5.623,1.2492,10.9589,8.761,3.0758,15.6639,0.0529,0.0,1.2199
SIMBAD AGN/QSO,79,2.0,4.4237,1.4085,7.8571,5.7609,2.4385,9.4742,9.7193,5.6962,14.2066,1.2322,0.0,3.2897
SIMBAD AGN/QSO,79,5.0,2.7532,1.3158,4.3916,5.8741,4.0506,7.8131,6.2312,4.2663,8.3957,1.7275,0.5195,3.0593
EclBin+RRLyrae,52,0.5,11.2661,0.0,24.4916,7.7859,0.0,20.6897,6.5049,0.0,19.2378,0.0,0.0,0.0
EclBin+RRLyrae,52,1.0,6.0215,0.0,13.3333,5.8928,0.0,12.766,7.6758,1.6949,15.6265,0.0,0.0,0.0
EclBin+RRLyrae,52,2.0,4.6818,1.0864,9.0,4.7968,1.0204,9.1671,5.7022,1.8519,10.4167,0.3316,0.0,2.5
EclBin+RRLyrae,52,5.0,2.2666,0.7682,4.1386,3.1433,1.2903,5.3068,4.3146,2.2725,6.7797,0.7742,0.0,2.0
Published SNe,14,0.5,0.0,0.0,0.0,2.4086,0.0,26.6667,0.0,0.0,0.0,0.0,0.0,0.0
Published SNe,14,1.0,0.0,0.0,0.0,7.3989,0.0,23.0769,6.7488,0.0,25.0,0.0,0.0,0.0
Published SNe,14,2.0,2.2637,0.0,10.0132,3.6288,0.0,12.5,7.147,0.0,17.8571,0.0,0.0,0.0
Published SNe,14,5.0,4.3072,0.0,9.4868,4.2557,0.0,8.8889,5.638,0.9524,10.7692,1.4768,0.0,5.0
Unlabeled,5164,0.5,1.5305,1.1921,1.8666,1.4902,1.1628,1.8306,1.0508,0.7326,1.3608,1.1435,0.8189,1.4629
Unlabeled,5164,1.0,1.5753,1.3341,1.8479,1.484,1.2606,1.7168,1.1324,0.9129,1.372,1.1702,0.9388,1.4052
Unlabeled,5164,2.0,1.5206,1.3332,1.6972,1.4362,1.2641,1.6042,1.2685,1.1056,1.436,1.0598,0.9019,1.2066
Unlabeled,5164,5.0,1.2962,1.1932,1.4009,1.3562,1.2575,1.4633,1.4127,1.3087,1.5222,0.9832,0.8851,1.0809
